what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1297529581188
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1297529581188
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1297529581189
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1297529581190
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1297529581191
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1297529581192
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1297529581194
started,bundle,oracle.eclipse.tools.glassfish,3.1.1.201009290929,"oracle.eclipse.tools.glassfish",1297529581195
started,bundle,org.eclipse.egit.core,0.10.1,"org.eclipse.egit.core",1297529581207
started,bundle,org.eclipse.egit.ui,0.10.1,"org.eclipse.egit.ui",1297529581235
started,bundle,org.eclipse.jgit,0.10.1,"org.eclipse.jgit",1297529581236
started,bundle,org.eclipse.tptp.platform.profile.server.wst,4.4.1.v201009092123,"org.eclipse.tptp.platform.profile.server.wst",1297529581237
os,sysinfo,,,"win32",1297529581297
arch,sysinfo,,,"x86",1297529581297
ws,sysinfo,,,"win32",1297529581297
locale,sysinfo,,,"it_IT",1297529581297
processors,sysinfo,,,"2",1297529581297
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1297529581297
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1297529581297
java.specification.name,sysinfo,,,"Java Platform API Specification",1297529581297
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297529581297
java.specification.version,sysinfo,,,"1.6",1297529581297
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1297529581297
java.version,sysinfo,,,"1.6.0_23",1297529581297
java.vm.info,sysinfo,,,"mixed mode, sharing",1297529581297
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1297529581297
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1297529581297
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1297529581297
java.vm.specification.version,sysinfo,,,"1.0",1297529581297
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1297529581297
java.vm.version,sysinfo,,,"19.0-b09",1297529581297
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1297529583802
